Date,Date,ABBV Open,ABBV High,ABBV Low,ABBV Close,ABBV Adj Close,ABBV Volume,ABBV Change,ALKS Open,ALKS High,ALKS Low,ALKS Close,ALKS Adj Close,ALKS Volume,ALKS Change,GSK Open,GSK High,GSK Low,GSK Close,GSK Adj Close,GSK Volume,GSK Change,LLY Open,LLY High,LLY Low,LLY Close,LLY Adj Close,LLY Volume,LLY Change,PFE Open,PFE High,PFE Low,PFE Close,PFE Adj Close,PFE Volume,PFE Change,SNY Open,SNY High,SNY Low,SNY Close,SNY Adj Close,SNY Volume,SNY Change
0,2022-08-09,140.679993,142.240005,139.880005,140.25,134.782043,3819700,-0.4299929999999961,25.809999,26.1,25.440001,25.6,25.6,2248900,-0.20999899999999982,40.209999,40.330002,39.950001,40.029999,38.450958,6337100,-0.18000000000000682,305.089996,306.700012,301.299988,303.019989,299.443573,2122900,-2.0700069999999755,49.75,50.110001,49.52,49.779999,47.851295,12095600,0.029998999999996556,48.790001,48.950001,48.599998,48.66,46.896526,2725800,-0.13000100000000003
1,2022-08-10,140.910004,141.059998,139.0,140.940002,135.445129,4075300,0.029998000000006186,25.75,25.780001,25.43,25.65,25.65,1189000,-0.10000000000000142,39.169998,39.330002,37.779999,38.299999,36.789192,15665300,-0.869999,304.5,307.130005,302.589996,304.609985,301.014771,2351000,0.10998499999999467,49.93,50.049999,49.380001,49.950001,48.014702,17355100,0.0200010000000006,46.860001,46.93,43.200001,45.200001,43.56192,9931900,-1.6599999999999966
2,2022-08-11,140.229996,142.869995,139.660004,142.080002,136.54068,5972800,1.8500060000000076,25.629999,25.76,25.24,25.469999,25.469999,1118000,-0.16000000000000014,34.98,35.990002,34.5,35.73,34.320576,35389900,0.75,301.029999,305.420013,299.630005,301.170013,297.615417,2198800,0.14001400000000785,48.220001,49.130001,47.810001,48.290001,46.419022,44048800,0.06999999999999318,42.02,44.27,41.98,43.419998,41.846428,21753500,1.3999979999999965
3,2022-08-12,141.889999,143.089996,140.270004,142.600006,137.040405,5208700,0.7100070000000187,25.469999,26.16,25.33,26.15,26.15,1299500,0.6800009999999972,35.990002,36.150002,35.259998,36.029999,34.608738,11969300,0.039996999999999616,302.920013,308.48999,301.299988,308.079987,305.437714,2305100,5.159974000000034,48.549999,50.389999,48.549999,50.110001,48.168507,25835500,1.5600019999999972,43.970001,44.59,43.73,44.369999,42.762001,4732300,0.3999979999999965
4,2022-08-15,143.110001,143.279999,140.419998,142.289993,136.742508,4513200,-0.8200080000000014,25.959999,26.82,25.959999,26.6,26.6,1605800,0.6400010000000016,34.529999,35.23,34.419998,34.950001,33.571342,15402900,0.42000200000000376,309.209991,314.609985,307.309998,313.940002,311.247498,2795800,4.73001099999999,49.970001,50.07,49.389999,49.75,47.822449,15797800,-0.22000100000000344,43.720001,44.099998,43.130001,43.830002,42.241573,3066400,0.1100009999999969
5,2022-08-16,142.110001,143.979996,142.080002,142.550003,136.992386,3852300,0.4400019999999927,26.42,26.799999,26.040001,26.450001,26.450001,1021600,0.030000999999998612,35.029999,35.540001,34.860001,35.259998,33.869114,11687500,0.2299990000000065,313.929993,314.369995,309.630005,310.309998,307.64859,2248000,-3.619995000000017,49.380001,50.18,49.360001,49.860001,47.928196,12874800,0.4799999999999969,43.68,44.889999,43.439999,44.810001,43.186054,3766500,1.130001
6,2022-08-17,141.419998,142.759995,140.550003,141.440002,135.925644,3605200,0.020004000000000133,26.23,26.42,25.530001,25.610001,25.610001,956100,-0.619999,34.580002,34.93,34.25,34.700001,33.331203,11519100,0.11999899999999997,310.01001,320.600006,310.01001,316.820007,314.102783,2747200,6.809996999999953,49.650002,49.860001,49.25,49.27,47.36105,13607200,-0.3800019999999975,42.18,42.619999,41.290001,42.18,40.651367,11000000,0.0
7,2022-08-18,141.490005,141.580002,139.820007,141.289993,135.781464,3525200,-0.20001199999998676,25.719999,25.780001,25.120001,25.24,25.24,1352100,-0.47999900000000295,34.59,34.599998,33.889999,34.25,33.273888,6992100,-0.3400000000000034,316.75,318.959991,314.200012,316.720001,314.003632,2261600,-0.02999899999997524,49.389999,49.52,48.380001,48.580002,46.697784,18916300,-0.8099970000000027,41.5,41.540001,40.919998,41.189999,39.697243,4301900,-0.31000099999999975
8,2022-08-19,141.779999,143.360001,141.460007,141.850006,136.319672,4530700,0.07000700000000393,25.24,25.49,25.07,25.26,25.26,1310700,0.020000000000003126,34.279999,34.490002,34.040001,34.060001,33.089302,4888900,-0.2199979999999968,317.51001,325.75,317.5,322.769989,320.00174,3393100,5.259978999999987,48.84,49.450001,48.73,49.150002,47.245701,15350200,0.3100019999999972,40.970001,41.540001,40.900002,41.27,39.774345,4010100,0.2999989999999997
9,2022-08-22,141.970001,142.660004,139.960007,140.339996,134.868515,4023500,-1.6300049999999828,25.25,25.440001,24.92,24.99,24.99,833000,-0.26000000000000156,34.02,34.25,33.939999,34.049999,33.079586,5461900,0.029998999999996556,322.279999,325.769989,320.390015,323.100006,320.328918,2488000,0.8200070000000323,49.209999,49.400002,48.740002,48.900002,47.005386,13601200,-0.30999700000000274,41.220001,41.34,40.73,40.959999,39.475578,4438000,-0.26000200000000007
10,2022-08-23,139.649994,140.850006,138.449997,139.020004,133.599991,3768100,-0.6299899999999923,24.879999,25.110001,24.51,24.91,24.91,872400,0.030000999999998612,33.75,33.849998,33.529999,33.73,32.768707,6075100,-0.020000000000003126,321.23999,321.839996,313.869995,315.100006,312.397552,2962000,-6.13998399999997,48.419998,48.52,47.759998,48.009998,46.149868,16248900,-0.4099999999999966,40.98,41.099998,40.580002,40.720001,39.244282,2298600,-0.25999899999999343
11,2022-08-24,139.050003,139.460007,137.699997,137.910004,132.533279,5018900,-1.1399990000000173,24.99,25.34,24.82,25.209999,25.209999,616800,0.2199990000000014,33.299999,33.630001,33.169998,33.529999,32.574406,5800600,0.22999999999999687,316.470001,320.859985,315.220001,318.869995,316.135193,1827000,2.3999939999999924,47.900002,48.009998,47.380001,47.43,45.592342,15551500,-0.4700020000000009,40.369999,40.599998,40.200001,40.580002,39.109356,2608500,0.21000300000000038
