Date,Open,High,Low,Close,Adj Close,Volume
2022-08-09,48.790001,48.950001,48.599998,48.660000,46.896526,2725800
2022-08-10,46.860001,46.930000,43.200001,45.200001,43.561920,9931900
2022-08-11,42.020000,44.270000,41.980000,43.419998,41.846428,21753500
2022-08-12,43.970001,44.590000,43.730000,44.369999,42.762001,4732300
2022-08-15,43.720001,44.099998,43.130001,43.830002,42.241573,3066400
2022-08-16,43.680000,44.889999,43.439999,44.810001,43.186054,3766500
2022-08-17,42.180000,42.619999,41.290001,42.180000,40.651367,11000000
2022-08-18,41.500000,41.540001,40.919998,41.189999,39.697243,4301900
2022-08-19,40.970001,41.540001,40.900002,41.270000,39.774345,4010100
2022-08-22,41.220001,41.340000,40.730000,40.959999,39.475578,4438000
2022-08-23,40.980000,41.099998,40.580002,40.720001,39.244282,2298600
2022-08-24,40.369999,40.599998,40.200001,40.580002,39.109356,2608500
2022-08-25,40.119999,40.529999,39.849998,40.490002,39.022617,3473200
2022-08-26,41.560001,41.639999,40.680000,40.820000,39.340656,5433700
2022-08-29,41.020000,41.090000,40.660000,40.700001,39.225006,2937900
2022-08-30,41.189999,41.630001,41.110001,41.240002,39.745434,2406500
2022-08-31,41.610001,41.770000,41.029999,41.029999,39.543041,1729900
2022-09-01,40.380001,40.560001,40.139999,40.400002,38.935879,2002600
2022-09-02,40.459999,40.919998,40.029999,40.080002,38.627476,1809800
2022-09-06,39.860001,40.009998,39.490002,39.590000,38.155231,2419100
2022-09-07,39.930000,40.590000,39.880001,40.470001,39.003342,2540700
2022-09-08,39.849998,40.310001,39.660000,40.080002,38.627476,2086300
2022-09-09,40.779999,40.959999,40.590000,40.799999,39.321381,1138100
2022-09-12,41.279999,41.750000,41.270000,41.490002,39.986374,1396300
2022-09-13,40.930000,41.000000,40.459999,40.529999,39.061165,1451000
2022-09-14,40.360001,40.540001,39.880001,40.049999,38.598560,1782900
2022-09-15,40.520000,40.860001,40.470001,40.669998,39.196091,2210000
2022-09-16,40.310001,41.070000,40.310001,40.820000,39.340656,1601700
2022-09-19,40.320000,40.639999,40.060001,40.590000,39.118992,1764500
2022-09-20,39.860001,40.200001,39.689999,39.939999,38.492546,1365200
2022-09-21,39.439999,39.439999,38.660000,38.759998,37.355309,2316500
2022-09-22,39.049999,39.250000,38.700001,39.130001,37.711903,3009600
2022-09-23,38.389999,38.820000,38.009998,38.400002,37.008358,3399900
2022-09-26,37.500000,37.630001,36.910000,37.250000,35.900036,6805600
2022-09-27,37.470001,37.650002,37.070000,37.220001,35.871124,6158300
2022-09-28,37.779999,38.250000,37.599998,38.169998,36.786690,4724400
